_id,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
617082fa2299cb9f2c2718f7,nm0000332,Don Cheadle,1964,\N,"actor,producer,soundtrack","tt0790770,tt1540133,tt0395169,tt0375679"
617082fa2299cb9f2c2718f8,nm0000333,Cher,1946,\N,"music_artist,soundtrack,actress","tt0100140,tt0093565,tt1126591,tt0089560"
617082fa2299cb9f2c2718f9,nm0000334,Chow Yun-Fat,1955,\N,"actor,writer,soundtrack","tt0190332,tt1098327,tt0473444,tt0120008"
617082fa2299cb9f2c2718fa,nm0000336,James Coburn,1928,2002,"actor,producer,director","tt0118564,tt0057115,tt0056923,tt0054047"
617082fa2299cb9f2c2718fb,nm0000335,Glenn Close,1947,\N,"actress,soundtrack,producer","tt0093010,tt3750872,tt2015381,tt0094947"
617082fa2299cb9f2c2718fc,nm0000337,Rachael Leigh Cook,1979,\N,"actress,producer,writer","tt0331811,tt11100856,tt5659816,tt0160862"
617082fa2299cb9f2c2718fd,nm0000343,David Cronenberg,1943,\N,"actor,director,writer","tt0091064,tt0094964,tt0115964,tt0120907"
617082fa2299cb9f2c2718fe,nm0000346,Macaulay Culkin,1980,\N,"actor,producer,director","tt0102492,tt0099785,tt0104431,tt0107034"
617082fa2299cb9f2c2718ff,nm0000347,Tim Curry,1946,\N,"actor,soundtrack,producer","tt0117110,tt0073629,tt0088930,tt0112715"
617082fa2299cb9f2c271900,nm0000345,Billy Crystal,1948,\N,"actor,writer,producer","tt0098635,tt0113097,tt0122933,tt0101587"
617082fa2299cb9f2c271901,nm0000348,Tony Curtis,1925,2010,"actor,producer,soundtrack","tt0051036,tt0053291,tt0066701,tt0054331"
617082fa2299cb9f2c271902,nm0000344,Denise Crosby,\N,\N,"actress,producer","tt0098084,tt0104119,tt0120647,tt0097889"
617082fa2299cb9f2c271903,nm0000350,Beverly D'Angelo,1951,\N,"actress,soundtrack,producer","tt0085995,tt0120434,tt0120586,tt0097958"
617082fa2299cb9f2c271904,nm0000349,Joan Cusack,1962,\N,"actress,soundtrack,writer","tt0096463,tt1659337,tt0119360,tt0119229"
617082fa2299cb9f2c271905,nm0000351,Donna D'Errico,1968,\N,"actress,director,producer","tt4270458,tt4459134,tt12861508,tt7235466"
617082fa2299cb9f2c271906,nm0000353,Willem Dafoe,1955,\N,"actor,soundtrack,producer","tt6938828,tt7984734,tt0145487,tt5649144"
617082fa2299cb9f2c271907,nm0000338,Francis Ford Coppola,1939,\N,"producer,director,writer","tt0071562,tt0078788,tt0071360,tt0068646"
617082fa2299cb9f2c271908,nm0000352,Vincent D'Onofrio,1959,\N,"actor,producer,soundtrack","tt0119654,tt0209958,tt0093058,tt0109707"
617082fa2299cb9f2c271909,nm0000342,James Cromwell,1940,\N,"actor,producer,soundtrack","tt0144214,tt0117731,tt0119488,tt0120689"
617082fa2299cb9f2c27190a,nm0000354,Matt Damon,1970,\N,"producer,actor,soundtrack","tt0119217,tt0407887,tt3659388,tt0134119"
617082fa2299cb9f2c27190b,nm0000340,Cindy Crawford,1966,\N,"actress,soundtrack,producer","tt0113010,tt0120577,tt0186549,tt1441109"
617082fa2299cb9f2c27190c,nm0000339,Roger Corman,1926,\N,"producer,director,actor","tt0102926,tt0112384,tt0099612,tt0091419"
617082fa2299cb9f2c27190d,nm0000356,Sybil Danning,\N,\N,"actress,producer,writer","tt0085672,tt0373883,tt0080421,tt0072281"
617082fa2299cb9f2c27190e,nm0000357,Lolita Davidovich,1961,\N,actress,"tt0096943,tt0329717,tt0092513,tt0110146"
617082fa2299cb9f2c27190f,nm0000355,Anthony Daniels,1946,\N,"actor,producer,writer","tt2527336,tt2488496,tt0076759,tt0080684"
617082fa2299cb9f2c271910,nm0000359,Olivier De Funès,1949,\N,"actor,writer,soundtrack","tt0065848,tt0060475,tt0064425,tt0250077"
617082fa2299cb9f2c271911,nm0000358,Daniel Day-Lewis,1957,\N,"actor,music_department,soundtrack","tt0443272,tt0469494,tt0104691,tt0217505"
617082fa2299cb9f2c271912,nm0000360,Rebecca De Mornay,1959,\N,"actress,soundtrack,producer","tt0396269,tt0104389,tt0089941,tt0086200"
617082fa2299cb9f2c271913,nm0000341,Michael Crichton,1942,2008,"writer,producer,director","tt0117998,tt0108757,tt0107290,tt0070909"
617082fa2299cb9f2c271914,nm0000361,Brian De Palma,1940,\N,"director,writer,producer","tt0120832,tt0080661,tt0086984,tt0094226"
617082fa2299cb9f2c271915,nm0000362,Danny DeVito,1944,\N,"actor,producer,director","tt0098621,tt0117008,tt0103776,tt0119488"
617082fa2299cb9f2c271916,nm0000363,Loren Dean,1969,\N,"actor,soundtrack","tt7959026,tt2935510,tt0112384,tt0119177"
617082fa2299cb9f2c271917,nm0000364,Sandra Dee,1942,2005,"actress,soundtrack","tt0054759,tt0056093,tt0052847,tt0052918"
617082fa2299cb9f2c271918,nm0000365,Julie Delpy,1969,\N,"actress,writer,producer","tt0111507,tt0112471,tt0841044,tt0381681"
617082fa2299cb9f2c271919,nm0000366,Catherine Deneuve,1943,\N,"actress,soundtrack,producer","tt0061395,tt0283832,tt0168629,tt0059646"
617082fa2299cb9f2c27191a,nm0000367,Gérard Depardieu,1948,\N,"actor,producer,soundtrack","tt0099334,tt0099699,tt0103594,tt0120744"
617082fa2299cb9f2c27191b,nm0000368,Laura Dern,1967,\N,"actress,producer,writer","tt7653254,tt2305051,tt0107290,tt0090756"
617082fa2299cb9f2c27191c,nm0000369,Matt Dillon,1964,\N,"actor,director,producer","tt4003440,tt0097240,tt0129387,tt0375679"
617082fa2299cb9f2c27191d,nm0000372,Amanda Donohoe,1962,\N,"actress,producer","tt0110428,tt0095488,tt0119528,tt0090466"
617082fa2299cb9f2c27191e,nm0000378,Minnie Driver,1970,\N,"actress,soundtrack,producer","tt5592146,tt0112679,tt0119217,tt0496343"
617082fa2299cb9f2c27191f,nm0000377,Richard Dreyfuss,1947,\N,"actor,producer,soundtrack","tt0075860,tt0076095,tt0113862,tt0073195"
617082fa2299cb9f2c271920,nm0000379,Kirsten Dunst,1982,\N,"actress,producer,soundtrack","tt1527186,tt0110367,tt0145487,tt0110148"
617082fa2299cb9f2c271921,nm0000380,Robert Duvall,1931,\N,"actor,producer,soundtrack","tt1872194,tt0086423,tt0118632,tt0316356"
617082fa2299cb9f2c271922,nm0000381,Anthony Edwards,1962,\N,"actor,producer,director","tt0088000,tt0092099,tt0108757,tt0443706"
617082fa2299cb9f2c271923,nm0000382,Atom Egoyan,1960,\N,"director,writer,producer","tt0120255,tt0273435,tt1352824,tt2326612"
617082fa2299cb9f2c271924,nm0000384,Danny Elfman,1953,\N,"music_department,soundtrack,composer","tt0121164,tt0119654,tt0107688,tt0367594"
617082fa2299cb9f2c271925,nm0000385,Sam Elliott,1944,\N,"actor,producer,soundtrack","tt0098206,tt0286716,tt1517451,tt5655222"
617082fa2299cb9f2c271926,nm0000386,Roland Emmerich,1955,\N,"writer,producer,director","tt0319262,tt0120685,tt1628841,tt0116629"
617082fa2299cb9f2c271927,nm0000383,Jennifer Ehle,1969,\N,actress,"tt0112130,tt1790885,tt2392830,tt4919484"
617082fa2299cb9f2c271928,nm0000373,Michael Dorn,1952,\N,"actor,director,soundtrack","tt0102975,tt0117731,tt0120844,tt0111280"
617082fa2299cb9f2c271929,nm0000388,R. Lee Ermey,1944,2018,"actor,miscellaneous,producer","tt0114369,tt0324216,tt0095647,tt0093058"
617082fa2299cb9f2c27192a,nm0000389,Emilio Estevez,1962,\N,"actor,director,producer","tt0308055,tt3294746,tt0100994,tt1441912"
617082fa2299cb9f2c27192b,nm0000390,Joe Eszterhas,1944,\N,"writer,producer,miscellaneous","tt0118577,tt0114436,tt0108162,tt0103772"
617082fa2299cb9f2c27192c,nm0000392,Morgan Fairchild,1950,\N,"actress,soundtrack,producer","tt0108778,tt1754944,tt0081858,tt0084652"
617082fa2299cb9f2c27192d,nm0000393,Peter Falk,1927,2011,"actor,producer,soundtrack","tt0281322,tt0074937,tt0093779,tt1466074"
617082fa2299cb9f2c27192e,nm0000391,Rupert Everett,1959,\N,"actor,soundtrack,producer","tt2404639,tt0122541,tt0119738,tt0109592"
617082fa2299cb9f2c27192f,nm0000374,Brad Dourif,1950,\N,actor,"tt0073486,tt0167261,tt0095647,tt0099528"
617082fa2299cb9f2c271930,nm0000394,Chris Farley,1964,1997,"actor,soundtrack,stunts","tt0118708,tt0115697,tt0114694,tt0106598"
617082fa2299cb9f2c271931,nm0000375,Robert Downey Jr.,1965,\N,"actor,producer,soundtrack","tt0988045,tt1300854,tt4154796,tt0371746"
617082fa2299cb9f2c271932,nm0000370,Walt Disney,1901,1966,"producer,actor,miscellaneous","tt0034492,tt0048280,tt0029583,tt0058331"
617082fa2299cb9f2c271933,nm0000376,Fran Drescher,1957,\N,"writer,actress,producer","tt0098546,tt0106080,tt0837562,tt0118691"
617082fa2299cb9f2c271934,nm0000371,Ami Dolenz,1969,\N,"actress,producer,miscellaneous","tt0056758,tt0107949,tt0110913,tt0092718"
617082fa2299cb9f2c271935,nm0000387,Robert Englund,1947,\N,"actor,miscellaneous,soundtrack","tt0087800,tt0093629,tt0329101,tt0095742"
617082fa2299cb9f2c271936,nm0000395,Terry Farrell,1963,\N,"actress,soundtrack","tt0106145,tt0090685,tt0104409,tt0174378"
617082fa2299cb9f2c271937,nm0000396,Farrah Fawcett,1947,2009,"actress,producer,soundtrack","tt0091024,tt0082136,tt0079285,tt0074812"
617082fa2299cb9f2c271938,nm0000397,Corey Feldman,\N,\N,"actor,producer,soundtrack","tt0096734,tt0089218,tt0093437,tt0092005"
617082fa2299cb9f2c271939,nm0000399,David Fincher,1962,\N,"producer,director,writer","tt1285016,tt2267998,tt0443706,tt0114369"
617082fa2299cb9f2c27193a,nm0000400,Linda Fiorentino,1958,\N,"actress,soundtrack","tt0088680,tt0120655,tt0119654,tt0110308"
617082fa2299cb9f2c27193b,nm0000401,Laurence Fishburne,1961,\N,"actor,producer,director","tt0234215,tt0327056,tt1598778,tt0133093"
617082fa2299cb9f2c27193c,nm0000402,Carrie Fisher,1956,2016,"actress,miscellaneous,soundtrack","tt0080684,tt0086190,tt2527336,tt0076759"
617082fa2299cb9f2c27193d,nm0000403,Bridget Fonda,1964,\N,"actress,soundtrack","tt0139414,tt0107843,tt0105414,tt0120324"
617082fa2299cb9f2c27193e,nm0000404,Jane Fonda,1937,\N,"actress,producer,soundtrack","tt3312830,tt0077362,tt0062711,tt0067309"
617082fa2299cb9f2c27193f,nm0000405,Michelle Forbes,1965,\N,actress,"tt1951266,tt0107302,tt0844441,tt0116225"
617082fa2299cb9f2c271940,nm0000407,Vivica A. Fox,1964,\N,"actress,producer,director","tt1628841,tt0118688,tt0116629,tt0266697"
617082fa2299cb9f2c271941,nm0000408,Jonathan Frakes,1952,\N,"actor,director,producer","tt0120844,tt0253754,tt0111280,tt0117731"
617082fa2299cb9f2c271942,nm0000409,Brendan Fraser,1968,\N,"actor,producer,soundtrack","tt0209163,tt0120616,tt0375679,tt13833688"
617082fa2299cb9f2c271943,nm0000410,Stephen Fry,1957,\N,"actor,writer,producer","tt0120514,tt0280707,tt0371724,tt0434409"
617082fa2299cb9f2c271944,nm0000412,Andy Garcia,1956,\N,"actor,producer,soundtrack","tt0343996,tt0240772,tt0349903,tt0099674"
617082fa2299cb9f2c271945,nm0000413,Janeane Garofalo,1964,\N,"actress,writer,producer","tt0117979,tt0132347,tt0382932,tt0243655"
617082fa2299cb9f2c271946,nm0000414,Teri Garr,1947,\N,"actress,soundtrack,miscellaneous","tt0072431,tt0085970,tt0075860,tt0084805"
617082fa2299cb9f2c271947,nm0000411,Edward Furlong,1977,\N,"actor,producer,soundtrack","tt0120586,tt0103064,tt0990407,tt0165710"
617082fa2299cb9f2c271948,nm0000415,Jami Gertz,1965,\N,"actress,producer,executive","tt0093437,tt0117998,tt0320970,tt0088128"
617082fa2299cb9f2c271949,nm0000416,Terry Gilliam,1940,\N,"writer,actor,animation_department","tt0088846,tt0071853,tt1054606,tt0081633"
617082fa2299cb9f2c27194a,nm0000417,Crispin Glover,1964,\N,"actor,soundtrack,producer","tt1898069,tt0118141,tt0091860,tt0310357"
617082fa2299cb9f2c27194b,nm0000418,Danny Glover,1946,\N,"actor,producer,director","tt0097733,tt1190080,tt0122151,tt0093409"
617082fa2299cb9f2c27194c,nm0000421,Cuba Gooding Jr.,1968,\N,"actor,soundtrack,writer","tt0203019,tt0101507,tt0316465,tt0116695"
617082fa2299cb9f2c27194d,nm0000424,Hugh Grant,1960,\N,"actor,soundtrack","tt0314331,tt0276751,tt0109831,tt0125439"
617082fa2299cb9f2c27194e,nm0000425,Peter Greenaway,1942,\N,"director,writer,editor","tt1702429,tt0092929,tt0097108,tt0446750"
617082fa2299cb9f2c27194f,nm0000398,Sally Field,1946,\N,"actress,producer,soundtrack","tt0109830,tt0098384,tt0076729,tt0443272"
617082fa2299cb9f2c271950,nm0000427,Pam Grier,1949,\N,"actress,soundtrack,writer","tt0119396,tt0069897,tt0071517,tt0228333"
617082fa2299cb9f2c271951,nm0000406,John Ford,1894,1973,"director,producer,actor","tt0031971,tt0033729,tt0032551,tt0045061"
617082fa2299cb9f2c271952,nm0000429,Melanie Griffith,1957,\N,"actress,producer","tt0096463,tt0086984,tt0117107,tt0091983"
617082fa2299cb9f2c271953,nm0000428,D.W. Griffith,1875,1948,"director,writer,producer","tt0004972,tt0006864,tt0009968,tt0010484"
617082fa2299cb9f2c271954,nm0000430,Steve Guttenberg,1958,\N,"actor,producer,soundtrack","tt0087928,tt0094137,tt0098966,tt0091949"
617082fa2299cb9f2c271955,nm0000426,Jennifer Grey,1960,\N,"actress,producer,soundtrack","tt2013293,tt0087985,tt0091042,tt0092890"
617082fa2299cb9f2c271956,nm0000433,Corey Haim,1971,2010,"actor,producer,soundtrack","tt0090021,tt0091445,tt0093437,tt0095519"
617082fa2299cb9f2c271957,nm0000432,Gene Hackman,1930,\N,"actor,soundtrack,producer","tt0265666,tt0067116,tt0095647,tt0105695"
617082fa2299cb9f2c271958,nm0000431,Taylor Hackford,1944,\N,"producer,director,writer","tt0084434,tt0106469,tt0109642,tt0350258"
617082fa2299cb9f2c271959,nm0000423,Serena Grandi,1958,\N,actress,"tt0104123,tt0089598,tt0089271,tt2358891"
617082fa2299cb9f2c27195a,nm0000434,Mark Hamill,\N,\N,"actor,soundtrack,producer","tt2527336,tt0080684,tt0086190,tt0076759"
617082fa2299cb9f2c27195b,nm0000422,John Goodman,1952,\N,"actor,soundtrack,producer","tt1907668,tt0101410,tt1179933,tt1024648"
617082fa2299cb9f2c27195c,nm0000439,Neil Patrick Harris,1973,\N,"actor,producer,soundtrack","tt2267998,tt0120201,tt0460649,tt4834206"
617082fa2299cb9f2c27195d,nm0000435,Daryl Hannah,1960,\N,"actress,producer,director","tt0083658,tt0094291,tt0378194,tt0088161"
617082fa2299cb9f2c27195e,nm0000440,Nina Hartley,1959,\N,"actress,director,producer","tt0118749,tt1282224,tt0167019,tt0189990"
617082fa2299cb9f2c27195f,nm0000441,Noah Hathaway,1971,\N,"actor,miscellaneous,producer","tt0077215,tt0076984,tt0092115,tt0088323"
617082fa2299cb9f2c271960,nm0000438,Ed Harris,1950,\N,"actor,producer,director","tt0112384,tt0183659,tt0120382,tt0800308"
617082fa2299cb9f2c271961,nm0000443,Goldie Hawn,1945,\N,"actress,soundtrack,producer","tt0104070,tt0081375,tt0116313,tt0093693"
617082fa2299cb9f2c271962,nm0000444,Glenne Headly,1955,2017,actress,"tt0099422,tt0113862,tt2229499,tt0095031"
617082fa2299cb9f2c271963,nm0000420,Valeria Golino,1965,\N,"actress,director,producer","tt0107144,tt8613070,tt0095953,tt0102059"
617082fa2299cb9f2c271964,nm0000446,Mariel Hemingway,1961,\N,"actress,producer,soundtrack","tt0094074,tt0088960,tt0159730,tt0079522"
617082fa2299cb9f2c271965,nm0000442,Rutger Hauer,1944,2019,"actor,producer,director","tt0083658,tt0091209,tt1640459,tt0401792"
617082fa2299cb9f2c271966,nm0000447,Marilu Henner,1952,\N,"actress,miscellaneous,producer","tt0087507,tt0077089,tt0105017,tt0102250"
617082fa2299cb9f2c271967,nm0000436,Curtis Hanson,1945,2016,"director,producer,writer","tt0104389,tt0119488,tt0298203,tt0388125"
617082fa2299cb9f2c271968,nm0000437,Woody Harrelson,1961,\N,"actor,producer,soundtrack","tt0110632,tt2356777,tt1156398,tt0117318"
617082fa2299cb9f2c271969,nm0000445,Dan Hedaya,1940,\N,"actor,soundtrack","tt0114814,tt0112697,tt0166924,tt0088944"
617082fa2299cb9f2c27196a,nm0000449,Natasha Henstridge,1974,\N,"actress,producer,soundtrack","tt0228333,tt0120841,tt0190138,tt0114508"
617082fa2299cb9f2c27196b,nm0000448,Lance Henriksen,1940,\N,"actor,producer,miscellaneous","tt0107076,tt0370263,tt0114214,tt0090605"
617082fa2299cb9f2c27196c,nm0000456,Holly Hunter,1958,\N,"actress,producer,soundtrack","tt0092699,tt0328538,tt3606756,tt0107822"
617082fa2299cb9f2c27196d,nm0000452,Lauren Holly,1963,\N,"actress,producer,soundtrack","tt0207201,tt0106770,tt0103512,tt0109686"
617082fa2299cb9f2c27196e,nm0000457,John Hurt,1940,2017,"actor,soundtrack","tt0077928,tt0080678,tt0078748,tt0087803"
617082fa2299cb9f2c27196f,nm0000458,William Hurt,1950,2022,"actor,producer","tt0399146,tt0080360,tt0120738,tt0092699"
617082fa2299cb9f2c271970,nm0000419,Jean-Luc Godard,1930,2022,"director,writer,editor","tt0057869,tt0058898,tt0059592,tt0056663"
617082fa2299cb9f2c271971,nm0000459,Timothy Hutton,1960,\N,"actor,producer,director","tt0115639,tt0081283,tt0343737,tt1103987"
617082fa2299cb9f2c271972,nm0000460,Jeremy Irons,1948,\N,"actor,soundtrack,producer","tt0110357,tt2094766,tt0119558,tt0094964"
617082fa2299cb9f2c271973,nm0000461,Michael Ironside,1950,\N,"actor,producer,writer","tt0120201,tt0092099,tt0100802,tt0081455"
617082fa2299cb9f2c271974,nm0000463,Famke Janssen,1964,\N,"actress,writer,director","tt0185371,tt0120903,tt0376994,tt0113189"
617082fa2299cb9f2c271975,nm0000462,Kate Jackson,1948,\N,"actress,producer,director","tt0059978,tt0085088,tt0084293,tt0073972"
617082fa2299cb9f2c271976,nm0000464,Jim Jarmusch,1953,\N,"director,writer,actor","tt1714915,tt5247022,tt0088184,tt0412019"
617082fa2299cb9f2c271977,nm0000450,Philip Seymour Hoffman,1967,2014,"actor,producer,soundtrack","tt0292963,tt0472062,tt0379725,tt1560747"
617082fa2299cb9f2c271978,nm0000465,Ron Jeremy,1953,\N,"actor,director,writer","tt0165710,tt0124819,tt0144117,tt0120577"
617082fa2299cb9f2c271979,nm0000468,Lynn-Holly Johnson,1958,\N,"actress,director","tt0088395,tt0081738,tt0077716,tt0082398"
617082fa2299cb9f2c27197a,nm0000469,James Earl Jones,1931,\N,"actor,soundtrack","tt0086190,tt0097351,tt3748528,tt6105098"
617082fa2299cb9f2c27197b,nm0000470,Jeffrey Jones,1946,\N,"actor,soundtrack,miscellaneous","tt0091225,tt0086879,tt0091042,tt0109707"
617082fa2299cb9f2c27197c,nm0000471,Raul Julia,1940,1994,"actor,soundtrack","tt0101272,tt0089424,tt0100404,tt0111301"
617082fa2299cb9f2c27197d,nm0000472,Boris Karloff,1887,1969,"actor,soundtrack","tt0026138,tt0023245,tt0023194,tt0024894"
617082fa2299cb9f2c27197e,nm0000473,Diane Keaton,1946,\N,"actress,producer,director","tt0337741,tt0082979,tt0075686,tt0356680"
617082fa2299cb9f2c27197f,nm0000451,Gaby Hoffmann,1982,\N,"actress,soundtrack,director","tt0116242,tt0114011,tt0098554,tt0097351"
617082fa2299cb9f2c271980,nm0000455,John Hughes,1950,2009,"writer,producer,director","tt0093748,tt0098554,tt0090305,tt0088847"
617082fa2299cb9f2c271981,nm0000453,Ian Holm,1931,2020,"actor,soundtrack,animation_department","tt0167260,tt0088846,tt0120737,tt0382932"
617082fa2299cb9f2c271982,nm0000454,Dennis Hopper,1936,2010,"actor,director,writer","tt0064276,tt0090756,tt0111257,tt0114898"
617082fa2299cb9f2c271983,nm0000467,Don Johnson,1949,\N,"actor,producer,soundtrack","tt0086759,tt1853728,tt0072730,tt8946378"
617082fa2299cb9f2c271984,nm0000474,Michael Keaton,1951,\N,"actor,miscellaneous,producer","tt1895587,tt2562232,tt0096895,tt4276820"
617082fa2299cb9f2c271985,nm0000475,Patsy Kensit,1968,\N,"actress,soundtrack,composer","tt0097733,tt0071577,tt0090585,tt0068069"
617082fa2299cb9f2c271986,nm0000466,Jean-Pierre Jeunet,1953,\N,"director,writer,producer","tt0344510,tt0101700,tt0211915,tt1149361"
617082fa2299cb9f2c271987,nm0000477,Mia Kirshner,1975,\N,actress,"tt0285331,tt0387877,tt0115986,tt0277371"
617082fa2299cb9f2c271988,nm0000476,Sally Kirkland,1941,\N,"actress,producer,miscellaneous","tt0102138,tt0092569,tt0070735,tt3216866"
617082fa2299cb9f2c271989,nm0000478,Tawny Kitaen,1961,2021,"actress,producer","tt2797190,tt0090327,tt0086927,tt0087903"
617082fa2299cb9f2c27198a,nm0000479,Walter Koenig,1936,\N,"actor,writer,producer","tt0092007,tt0102975,tt0060028,tt0084726"
617082fa2299cb9f2c27198b,nm0000480,Elias Koteas,1961,\N,"actor,producer","tt0115964,tt0120863,tt0100758,tt0822854"
617082fa2299cb9f2c27198c,nm0000481,Alice Krige,1954,\N,"actress,producer,writer","tt0105428,tt9086228,tt0384537,tt0117731"
617082fa2299cb9f2c27198d,nm0000482,Sylvia Kristel,1952,2012,"actress,soundtrack,director","tt0078740,tt0081249,tt0071464,tt0077497"
617082fa2299cb9f2c27198e,nm0000484,John Landis,1950,\N,"producer,director,actor","tt0067716,tt0086491,tt0118747,tt0080455"
617082fa2299cb9f2c27198f,nm0000485,Fritz Lang,1890,1976,"writer,director,producer","tt0057345,tt0038057,tt0022100,tt0017136"
617082fa2299cb9f2c271990,nm0000483,Christopher Lambert,1957,\N,"actor,producer,writer","tt0106950,tt0120604,tt0091203,tt0113855"
617082fa2299cb9f2c271991,nm0000487,Ang Lee,1954,\N,"director,producer,writer","tt0190332,tt0107156,tt0808357,tt0454876"
617082fa2299cb9f2c271992,nm0000486,Heather Langenkamp,1964,\N,"actress,special_effects,make_up_department","tt13444912,tt0087800,tt0094490,tt0111686"
617082fa2299cb9f2c271993,nm0000488,Brandon Lee,1965,1993,"actor,miscellaneous","tt0109506,tt0105219,tt0102915,tt0099978"
617082fa2299cb9f2c271994,nm0000490,Spike Lee,1957,\N,"director,producer,writer","tt0102175,tt0104797,tt0091939,tt0097216"
617082fa2299cb9f2c271995,nm0000491,John Leguizamo,1960,\N,"actor,producer,writer","tt0120177,tt0117509,tt0203009,tt0162677"
617082fa2299cb9f2c271996,nm0000492,Jennifer Jason Leigh,1962,\N,"actress,producer,soundtrack","tt0108122,tt0105414,tt3460252,tt0109642"
617082fa2299cb9f2c271997,nm0000493,Jack Lemmon,1925,2001,"actor,soundtrack,producer","tt0053604,tt0053291,tt0104348,tt0078966"
617082fa2299cb9f2c271998,nm0000495,Téa Leoni,1966,\N,"actress,producer,soundtrack","tt0218967,tt0163025,tt0112442,tt0120647"
617082fa2299cb9f2c271999,nm0000494,Robert Sean Leonard,1969,\N,"actor,soundtrack","tt0412142,tt0107616,tt0097165,tt0106226"
617082fa2299cb9f2c27199a,nm0000496,Juliette Lewis,1973,\N,"actress,soundtrack,director","tt0116367,tt0110632,tt0101540,tt1322269"
617082fa2299cb9f2c27199b,nm0000497,Jennifer Lien,1974,\N,"actress,producer,script_department","tt0112178,tt0133189,tt0120586,tt0106100"
617082fa2299cb9f2c27199c,nm0000498,Matthew Lillard,1970,\N,"actor,producer,soundtrack","tt0331632,tt0267913,tt0133189,tt1033575"
617082fa2299cb9f2c27199d,nm0000499,Bai Ling,\N,\N,"actress,producer,writer","tt1121931,tt0109506,tt0119994,tt0405336"
617082fa2299cb9f2c27199e,nm0000500,Richard Linklater,1960,\N,"producer,director,writer","tt0243017,tt1065073,tt0405296,tt2209418"
617082fa2299cb9f2c27199f,nm0000502,Christopher Lloyd,1938,\N,"actor,soundtrack,producer","tt0106220,tt0088763,tt0101272,tt0096438"
